key_i,key_j,roles,ransac_inliers,selected_matches,rmse_initial,rmse_affine,rmse_projective,median_projective,p95_projective
left:0,right:0,intra_pair,7804,40,0.1206386390160139,82.53564818517357,6.431750666311871,5.0957903800049404,11.357415464971389
left:1,right:1,intra_pair,7850,40,11.555588436465083,16.126445295396,2.1488069003382857,1.9448548420177374,3.372533479080277
left:2,right:2,intra_pair,7858,40,14.996259911737285,19.67688930517716,2.0754732597568335,1.9659524440207816,3.330215764255541
left:3,right:3,intra_pair,7746,40,16.063977392035763,12.358939974649457,3.0853848231870815,2.553187120236867,5.296731869757732
left:4,right:4,intra_pair,7711,40,40.60020939631313,7.2338430485217495,1.6970677501441571,1.562671128127939,2.826343454530617
left:5,right:5,intra_pair,7723,40,44.27097516282488,2.6773507773654406,2.2624153797893047,1.1745029985672506,5.143204277722999
left:6,right:6,intra_pair,7730,40,59.33697090447151,15.285909940783965,5.762098239380397,3.2874688695468866,12.048015185309765
left:7,right:7,intra_pair,7722,40,76.89415440764816,10.843610141468783,5.7559789287170595,5.2820325591915775,9.077912372937005
left:8,right:8,intra_pair,7803,40,108.59066901960722,4.805149175138351,2.8500257164303022,2.2961996757381358,4.840740874034338
left:9,right:9,intra_pair,7587,40,168.25661399220664,3.2672931778239738,4.874614088267182,3.562650713879776,9.09993509215078
left:10,right:10,intra_pair,7624,40,190.93212908943804,0.6715214239087213,1.041376852100168,0.8813150030474202,1.7392744266097144
left:11,right:11,intra_pair,7685,40,214.5302757638593,4.959302690105652,1.4458621995180678,1.267954978834359,2.354944216149925
left:12,right:12,intra_pair,7640,40,1028.7526412465872,5.200473860976457,0.9706319930620466,0.8270930224116989,1.6820410835114326
left:13,right:13,intra_pair,7675,40,217.80354495534587,3.9422136056984707,1.7499293315562607,1.2432561520971517,3.3071448310968194
left:14,right:14,intra_pair,7563,40,856.0978731173151,5.110409378440207,2.7741449279062294,1.5080805032607236,5.7480882627940355
left:15,right:15,intra_pair,7642,40,14.328477868867697,5.671982497249104,4.30177434716529,3.406828070358629,7.303122057269428
