camera,frame,component,is_reference,a,b,c,d,e,f
left,0,0,True,1.0,0.0,0.0,0.0,1.0,0.0
right,0,0,False,0.9155068464716233,-0.007163274648014983,173.87024469242795,0.007163274648014983,0.9155068464716233,92.00091256142618
left,1,0,False,0.8109886233857119,-0.034971021575603826,270.1321199718222,0.034971021575603826,0.8109886233857119,-273.95492068638816
right,1,0,False,0.8237519013084582,-0.035094542809369994,267.42281377258087,0.035094542809369994,0.8237519013084582,-300.2482530001934
left,2,0,False,0.8020093197686919,-0.08005616307452677,349.9882805269131,0.08005616307452677,0.8020093197686919,-682.5668367784041
right,2,0,False,0.812991214046195,-0.09290808670770667,357.9392072025757,0.09290808670770667,0.812991214046195,-714.9670795566639
left,3,0,False,0.7703296163115001,-0.07598001319176537,443.15187180318424,0.07598001319176537,0.7703296163115001,-984.5150068440407
right,3,0,False,0.7780230971905286,-0.07784250436709116,449.61781384693205,0.07784250436709116,0.7780230971905286,-1003.7534030071675
left,4,0,False,0.7856645326406909,-0.09369280994417359,470.02736892897406,0.09369280994417359,0.7856645326406909,-1371.178736686662
right,4,0,False,0.7865925450756778,-0.09907892905753209,491.14641926634806,0.09907892905753209,0.7865925450756778,-1381.9606574603206
left,5,0,False,0.7596955894584261,-0.11086620637026676,565.1106334093283,0.11086620637026676,0.7596955894584261,-1662.3877519744865
right,5,0,False,0.7610625582281566,-0.11138285169125617,581.7053332820556,0.11138285169125617,0.7610625582281566,-1664.23541905509
left,6,0,False,0.7328734317383692,-0.07085074510643606,618.0531141933265,0.07085074510643606,0.7328734317383692,-1871.047266696864
right,6,0,False,0.7170900256241189,-0.07632096871983281,658.5954101443282,0.07632096871983281,0.7170900256241189,-1864.9720686866615
left,7,0,False,0.7194778575558866,-0.0736822679458184,662.900094167213,0.0736822679458184,0.7194778575558866,-2157.9678326947865
right,7,0,False,0.7093110827427385,-0.07464227061802886,697.554998791598,0.07464227061802886,0.7093110827427385,-2147.616194366408
left,8,0,False,0.731291116741143,-0.08217406821825506,686.2603191063444,0.08217406821825506,0.731291116741143,-2480.1072310647087
right,8,0,False,0.7275162967814754,-0.08238435688504557,708.9549104925883,0.08238435688504557,0.7275162967814754,-2475.733757868346
left,9,0,False,0.7259393738822072,-0.0824678509847996,729.9193392026676,0.0824678509847996,0.7259393738822072,-2750.2548226075173
right,9,0,False,0.727822703191436,-0.08344974525177283,742.0317532121696,0.08344974525177283,0.727822703191436,-2753.0624591153974
left,10,0,False,0.7124065394983456,-0.08911084686358713,791.6266717964058,0.08911084686358713,0.7124065394983456,-3045.8969846633017
right,10,0,False,0.7129754758647374,-0.08943623591934544,806.3846656025847,0.08943623591934544,0.7129754758647374,-3044.8401698867337
left,11,0,False,0.7045556485664568,-0.10128710688045235,846.9567626510993,0.10128710688045235,0.7045556485664568,-3346.222948516859
right,11,0,False,0.7079776912502319,-0.10031290623584259,856.2775026091193,0.10031290623584259,0.7079776912502319,-3342.4062327724646
left,12,0,False,0.7030771355242607,-0.11240080558866125,898.8416286482802,0.11240080558866125,0.7030771355242607,-3636.4344942449516
right,12,0,False,0.702029300742189,-0.11415378517045686,920.0881108907695,0.11415378517045686,0.702029300742189,-3631.2086460740325
left,13,0,False,0.035094778660742385,-0.658920101567584,2507.4096724610918,0.658920101567584,0.035094778660742385,-3750.4675353961748
right,13,0,False,0.03360231397241843,-0.6615039808104072,2512.1326222243474,0.6615039808104072,0.03360231397241843,-3736.1966765236716
left,14,0,False,-0.11969964219051582,-0.6500764708841451,2927.1093882495293,0.6500764708841451,-0.11969964219051582,-3551.299173691916
right,14,0,False,-0.11694317449477598,-0.6471553626390601,2917.9118184816916,0.6471553626390601,-0.11694317449477598,-3538.697328913972
left,15,0,False,-0.6747026047439164,-0.07028770700482545,3160.818711566542,0.07028770700482545,-0.6747026047439164,-2099.590998053837
right,15,0,False,-0.671815209127072,-0.07287128665914137,3145.1922378479826,0.07287128665914137,-0.671815209127072,-2099.9988381740413
left,16,0,False,-0.6804395681242563,0.102782996727783,2968.7584493171516,-0.102782996727783,-0.6804395681242563,-1556.7418442050337
right,16,0,False,-0.6793348475192282,0.1009248844307359,2954.156668628259,-0.1009248844307359,-0.6793348475192282,-1562.2798979080171
left,17,0,False,-0.6877582524762488,0.09654417921980636,2943.154839966351,-0.09654417921980636,-0.6877582524762488,-1241.0295724361656
right,17,0,False,-0.6866788958301747,0.09678690348314722,2927.3214480256966,-0.09678690348314722,-0.6866788958301747,-1244.4327970222348
left,18,0,False,-0.6968632770221164,0.09037292302172831,2924.7774634979883,-0.09037292302172831,-0.6968632770221164,-960.7532171512279
right,18,0,False,-0.6961692301814574,0.0905046350310944,2909.7219265087188,-0.0905046350310944,-0.6961692301814574,-964.6637757103318
left,19,0,False,-0.695832823770772,0.08740651959457013,2902.977007475477,-0.08740651959457013,-0.695832823770772,-723.0478506906219
right,19,0,False,-0.6970332490813604,0.08852054889698499,2889.9967837906456,-0.08852054889698499,-0.6970332490813604,-723.536099671822
left,20,0,False,-0.6936016865811446,0.0829209790830201,2881.9661218077135,-0.0829209790830201,-0.6936016865811446,-444.59464431577095
right,20,0,False,-0.6862245460625784,0.0850922728849576,2853.737362439355,-0.0850922728849576,-0.6862245460625784,-450.50028915201307
left,21,0,False,-0.7150636531620509,0.09070319489809531,2874.748352274059,-0.09070319489809531,-0.7150636531620509,-66.15413459418731
right,21,0,False,-0.7133160961566744,0.09042668072650858,2857.450863862171,-0.09042668072650858,-0.7133160961566744,-69.35018425922225
left,22,0,False,-0.7263034825737256,0.08809131093140568,2864.934653441189,-0.08809131093140568,-0.7263034825737256,181.8262822813023
right,22,0,False,-0.7267872607450049,0.08784054868414858,2848.7296762793053,-0.08784054868414858,-0.7267872607450049,178.3490559643208
left,23,0,False,-0.7409529259925066,0.08590573667333068,2874.127476271776,-0.08590573667333068,-0.7409529259925066,506.37930860055366
right,23,0,False,-0.7410551706779528,0.08192227558836096,2857.428576030971,-0.08192227558836096,-0.7410551706779528,503.01660058617864
left,24,0,False,-0.774159575507184,0.08515324542921618,2904.553577892588,-0.08515324542921618,-0.774159575507184,931.7786708264306
right,24,0,False,-0.7661397319890632,0.07255975183727567,2886.281159044092,-0.07255975183727567,-0.7661397319890632,907.6980117731623
left,25,0,False,-0.7899427291897657,0.06453354452564808,2932.661357903649,-0.06453354452564808,-0.7899427291897657,1211.1568719070601
right,25,0,False,-0.7878975725860441,0.06604054307461053,2913.3385139559787,-0.06604054307461053,-0.7878975725860441,1212.3305722347327
left,26,0,False,-0.7888392760929694,0.04220208432440799,2945.337632345402,-0.04220208432440799,-0.7888392760929694,1520.9688406078028
right,26,0,False,-0.7843321798645805,0.04007556419885821,2927.0425233872884,-0.04007556419885821,-0.7843321798645805,1513.6635854305905
left,27,0,False,-0.5913933038429637,-0.5047285111654716,3320.9455180489977,0.5047285111654716,-0.5913933038429637,859.163821911893
right,27,0,False,-0.5826912737340362,-0.49984324819413267,3292.855922722968,0.49984324819413267,-0.5826912737340362,865.6048615734447
left,28,0,False,0.05798605192050159,-0.7124588166339673,2946.3534928279764,0.7124588166339673,0.05798605192050159,-82.86803724754746
right,28,0,False,0.058388166363881146,-0.7150860076556727,2949.037546755321,0.7150860076556727,0.058388166363881146,-72.31820784469903
left,29,0,False,0.4348056609621497,-0.5173839661561613,2433.062242921008,0.5173839661561613,0.4348056609621497,-319.2191348800869
right,29,0,False,0.4271423334726293,-0.5178450679198988,2458.363154398558,0.5178450679198988,0.4271423334726293,-291.7817080844948
left,30,0,False,0.7146897565354531,0.005817168215678456,1532.5199813913537,-0.005817168215678456,0.7146897565354531,-213.1147908944181
right,30,0,False,0.7177175770075513,0.0018340497328019686,1548.20116610244,-0.0018340497328019686,0.7177175770075513,-219.73921390764087
left,31,0,False,0.7038237025933026,0.015108633471560336,1535.48802890308,-0.015108633471560336,0.7038237025933026,-530.8482318715454
right,31,0,False,0.7031432393999748,0.014070457403578025,1553.208739289976,-0.014070457403578025,0.7031432393999748,-535.6465263720751
left,32,0,False,0.7001464901632811,-0.0029083042303481837,1549.9097085655842,0.0029083042303481837,0.7001464901632811,-856.9013931180119
right,32,0,False,0.6968972087830608,0.004375435320846675,1558.002747968807,-0.004375435320846675,0.6968972087830608,-836.9429934888459
left,33,0,False,0.6998834849202754,-0.022094717470120363,1566.1109337744103,0.022094717470120363,0.6998834849202754,-1201.159102018183
right,33,0,False,0.6976542914326677,-0.023232593125516232,1587.741630182708,0.023232593125516232,0.6976542914326677,-1199.9615926596161
left,34,0,False,0.6918838648199291,-0.048617397421526286,1633.9522707873575,0.048617397421526286,0.6918838648199291,-1531.8387220933655
right,34,0,False,0.6880469428300531,-0.04812503096038686,1651.9131250619148,0.04812503096038686,0.6880469428300531,-1526.6830544067438
left,35,0,False,0.6901359061828369,-0.05523438217438203,1668.8428938066277,0.05523438217438203,0.6901359061828369,-1834.1769427876197
right,35,0,False,0.6905031333344194,-0.05437856374756458,1682.2019519595926,0.05437856374756458,0.6905031333344194,-1831.2407472853974
left,36,0,False,0.6752001507426462,-0.06189416464805353,1700.5775940134715,0.06189416464805353,0.6752001507426462,-2117.3238853777952
right,36,0,False,0.6723977586870824,-0.061942381367884713,1718.5829197492951,0.061942381367884713,0.6723977586870824,-2114.1032089583373
left,37,0,False,0.6737033294317244,-0.06587182580035537,1729.7836127494593,0.06587182580035537,0.6737033294317244,-2411.397363003137
right,37,0,False,0.6668939349410351,-0.0632023146731978,1747.581132309799,0.0632023146731978,0.6668939349410351,-2398.6338829983224
left,38,0,False,0.6741214850189823,-0.07366067564579738,1761.5955729506086,0.07366067564579738,0.6741214850189823,-2705.789842135516
right,38,0,False,0.6713666489661776,-0.07760699548539543,1782.5046144986118,0.07760699548539543,0.6713666489661776,-2709.0149629463835
left,39,0,False,0.6525868659668814,-0.07899086821053967,1825.6577118898826,0.07899086821053967,0.6525868659668814,-2961.713465426642
right,39,0,False,0.651950943262855,-0.07829257008257114,1840.882011074698,0.07829257008257114,0.651950943262855,-2959.6819290039616
left,40,0,False,0.6337967312477978,-0.0883712234420208,1894.3159253078472,0.0883712234420208,0.6337967312477978,-3236.14594975979
right,40,0,False,0.6368377681394654,-0.08913618884550749,1906.2846271617059,0.08913618884550749,0.6368377681394654,-3237.355767468252
left,41,0,False,0.622668971469401,-0.1333908411448356,2000.6649015536836,0.1333908411448356,0.622668971469401,-3529.221235590951
right,41,0,False,0.6281153302723667,-0.1365276743629981,2009.765913072556,0.1365276743629981,0.6281153302723667,-3532.8636419184413
left,42,0,False,-0.011708874779188697,-0.5896752706212702,3465.0158782771364,0.5896752706212702,-0.011708874779188697,-3452.7701060235095
right,42,0,False,-0.013944104176492613,-0.5877310189913592,3468.0473287920954,0.5877310189913592,-0.013944104176492613,-3432.733629389387
left,43,0,False,-0.05909880496368746,-0.5787677703731812,3728.6598740463824,0.5787677703731812,-0.05909880496368746,-3362.8378679311245
right,43,0,False,-0.06184039102712695,-0.5701506672667275,3725.4796557548466,0.5701506672667275,-0.06184039102712695,-3339.561533002898
left,44,0,False,-0.6210221533616722,0.03670083262163902,3896.1903758046324,-0.03670083262163902,-0.6210221533616722,-1833.5182689022083
right,44,0,False,-0.6221370169105804,0.039811243322767115,3883.243213350278,-0.039811243322767115,-0.6221370169105804,-1831.7856425882762
left,45,0,False,-0.636879991080796,0.08183138899145793,3845.052029492007,-0.08183138899145793,-0.636879991080796,-1452.1871505120814
right,45,0,False,-0.6368439313721764,0.08168964232072552,3830.721200951532,-0.08168964232072552,-0.6368439313721764,-1453.2721858051873
left,46,0,False,-0.6510275742804555,0.07847131851704417,3854.0645147017626,-0.07847131851704417,-0.6510275742804555,-1188.936803879051
right,46,0,False,-0.6508028546179674,0.0778148225788844,3838.813300611482,-0.0778148225788844,-0.6508028546179674,-1189.4654363297739
left,47,0,False,-0.6555586675845206,0.07062823401041467,3843.42578772445,-0.07062823401041467,-0.6555586675845206,-928.3121912583612
right,47,0,False,-0.6552108763237627,0.07130176524497324,3827.692442992355,-0.07130176524497324,-0.6552108763237627,-929.4836615351552
left,48,0,False,-0.6578985806570058,0.06361517968313367,3834.564564778279,-0.06361517968313367,-0.6578985806570058,-641.3853393476594
right,48,0,False,-0.6605052710819057,0.06249013272483929,3824.7129339926646,-0.06249013272483929,-0.6605052710819057,-640.8077901880037
left,49,0,False,-0.6731678611342059,0.05278936554033986,3856.697681206283,-0.05278936554033986,-0.6731678611342059,-376.55586066613
right,49,0,False,-0.6735355843566214,0.054449852199177605,3841.8757091989924,-0.054449852199177605,-0.6735355843566214,-373.7966899786697
left,50,0,False,-0.6776562709863312,0.028372993388383578,3860.303604364783,-0.028372993388383578,-0.6776562709863312,-88.60943873504367
right,50,0,False,-0.6755797824900296,0.03239641965541406,3840.975707903359,-0.03239641965541406,-0.6755797824900296,-88.56215397147243
left,51,0,False,-0.6859101319046448,0.009196965350660407,3881.734046303531,-0.009196965350660407,-0.6859101319046448,193.4609878125182
right,51,0,False,-0.6914142559647628,0.008238743341552909,3870.957691063901,-0.008238743341552909,-0.6914142559647628,196.7127556191302
left,52,0,False,-0.6988761480674978,-0.0065687057794776415,3912.8067087763047,0.0065687057794776415,-0.6988761480674978,436.0711764217323
right,52,0,False,-0.6988821226052375,-0.0058483370968405975,3897.0487710853135,0.0058483370968405975,-0.6988821226052375,436.4082871060138
left,53,0,False,-0.7100038797854069,-0.021027792794137017,3953.718661689598,0.021027792794137017,-0.7100038797854069,730.7430482402884
right,53,0,False,-0.71240384066736,-0.02179905457609806,3941.3222437364675,0.02179905457609806,-0.71240384066736,733.2725178308798
left,54,0,False,-0.6959028330590431,-0.030943042423773322,3968.7478420202665,0.030943042423773322,-0.6959028330590431,1018.2753800567264
right,54,0,False,-0.7003503344156572,-0.031216725569150908,3958.7591212285415,0.031216725569150908,-0.7003503344156572,1022.1894971450819
left,55,0,False,-0.6769640306577196,-0.035738490633354034,3969.703373238604,0.035738490633354034,-0.6769640306577196,1260.4948581196131
right,55,0,False,-0.6822941170093828,-0.042137072674456114,3971.338297293392,0.042137072674456114,-0.6822941170093828,1266.6901970608287
left,56,0,False,-0.11122005304259201,-0.6478194900306296,3983.5906194134013,0.6478194900306296,-0.11122005304259201,-40.262855901137385
right,56,0,False,-0.11415053298989904,-0.6445897227249913,3978.6865160640523,0.6445897227249913,-0.11415053298989904,-19.578146655775743
left,57,0,False,0.07100437684478224,-0.6416704001956041,3971.3456954847065,0.6416704001956041,0.07100437684478224,-245.70382453561325
right,57,0,False,0.0764624222469507,-0.6325645764583059,3958.387417907004,0.6325645764583059,0.0764624222469507,-223.03713730965907
left,58,0,False,0.6039586204432607,-0.1755318115879095,2882.921690840442,0.1755318115879095,0.6039586204432607,-288.1596550218609
right,58,0,False,0.6080840759130203,-0.17910076120159665,2895.3152666277397,0.17910076120159665,0.6080840759130203,-295.4294119324503
left,59,0,False,0.6378068433267919,0.051629777604791996,2594.7756823916047,-0.051629777604791996,0.6378068433267919,-306.1347665339266
right,59,0,False,0.6405054423659969,0.04833574816535992,2610.653510781177,-0.04833574816535992,0.6405054423659969,-320.1687993929678
left,60,0,False,0.6491536702726635,0.033590681776848305,2580.720538968512,-0.033590681776848305,0.6491536702726635,-655.1647784795571
right,60,0,False,0.6472742433839914,0.03741940506401471,2594.340906977259,-0.03741940506401471,0.6472742433839914,-646.4992809685081
left,61,0,False,0.6501045223397665,0.02731304835908136,2571.41342667736,-0.02731304835908136,0.6501045223397665,-932.943140587318
right,61,0,False,0.6496228730663637,0.02463262293447475,2588.009721846585,-0.02463262293447475,0.6496228730663637,-939.1933231005
left,62,0,False,0.6527248702211257,0.015774194051334286,2571.459428278225,-0.015774194051334286,0.6527248702211257,-1244.2731571281324
right,62,0,False,0.651487383974292,0.013644522223021255,2589.976896216463,-0.013644522223021255,0.651487383974292,-1246.3989825048832
left,63,0,False,0.6511664184352294,0.0024518047100793396,2588.686487848677,-0.0024518047100793396,0.6511664184352294,-1534.0182152919463
right,63,0,False,0.6518882202240288,0.003942450415750727,2600.1477960047937,-0.003942450415750727,0.6518882202240288,-1532.3312195760504
left,64,0,False,0.6390065590271623,-0.014804544687268325,2634.6318170820855,0.014804544687268325,0.6390065590271623,-1816.5644614761354
right,64,0,False,0.6397134745376662,-0.010858126089373366,2641.830751860719,0.010858126089373366,0.6397134745376662,-1812.551283203909
left,65,0,False,0.6295262586231049,-0.026366840773699423,2672.185151361598,0.026366840773699423,0.6295262586231049,-2104.940670123086
right,65,0,False,0.629872068996623,-0.025652440060698167,2686.858163119818,0.025652440060698167,0.629872068996623,-2101.9907591304323
left,66,0,False,0.6324703883548554,-0.03711500686957408,2697.757454139355,0.03711500686957408,0.6324703883548554,-2402.41233554002
right,66,0,False,0.6319398214269392,-0.03618175037543588,2709.4819676071156,0.03618175037543588,0.6319398214269392,-2400.3745561896885
left,67,0,False,0.6374485248206356,-0.04760741448118629,2722.794648406009,0.04760741448118629,0.6374485248206356,-2687.2017545197864
right,67,0,False,0.6391224078139295,-0.048488714648369735,2735.237983820149,0.048488714648369735,0.6391224078139295,-2688.0640440262164
left,68,0,False,0.6254557200028592,-0.05128183229508027,2760.6999853903335,0.05128183229508027,0.6254557200028592,-2951.1977578704273
right,68,0,False,0.6282020933845514,-0.054288589555712904,2775.7187603941097,0.054288589555712904,0.6282020933845514,-2953.885542633507
