camera,frame,component,is_reference,delta_norm,affine_init_a,affine_init_b,affine_init_c,affine_init_d,affine_init_e,affine_init_f,affine_init_g,affine_init_h,projective_final_a,projective_final_b,projective_final_c,projective_final_d,projective_final_e,projective_final_f,projective_final_g,projective_final_h
left,0,0,True,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
right,0,0,False,190.78170102208867,0.9155068464716233,-0.007163274648014983,173.87024469242795,0.007163274648014983,0.9155068464716233,92.00091256142618,0.0,0.0,1.0054571738367166,0.012131051996626452,15.108487299080126,0.004055664698539173,1.0212984327938754,-13.79295384588455,2.9899146323806537e-09,8.811666405674942e-06
left,1,0,False,380.55042938891086,0.8109886233857119,-0.034971021575603826,270.1321199718222,0.034971021575603826,0.8109886233857119,-273.95492068638816,0.0,0.0,0.9972758448492979,-0.00714169914077476,25.832927680421935,0.0073911011037344244,1.0128866238650156,-565.7364433244728,-3.80082531019825e-06,6.606787597015038e-06
right,1,0,False,342.75147757977436,0.8237519013084582,-0.035094542809369994,267.42281377258087,0.035094542809369994,0.8237519013084582,-300.2482530001934,0.0,0.0,0.9950631588249544,-0.007745571306911561,47.65976286916032,0.008153734638398425,1.007725866016581,-563.274320478303,-4.400845003733264e-06,4.993096955573735e-06
left,2,0,False,492.09169820681285,0.8020093197686919,-0.08005616307452677,349.9882805269131,0.08005616307452677,0.8020093197686919,-682.5668367784041,0.0,0.0,1.0086685798280925,-0.03861213592753547,57.56786429201176,0.03188119392453451,1.0170364825720741,-1078.350169714376,2.5678652726859203e-06,-2.605545280515531e-06
right,2,0,False,456.8254218752681,0.812991214046195,-0.09290808670770667,357.9392072025757,0.09290808670770667,0.812991214046195,-714.9670795566639,0.0,0.0,1.0083121692292758,-0.04110298005146149,80.93197697534603,0.03220608098700089,1.0153669136934713,-1078.2250801549346,3.0351176545831134e-06,-5.030796599898125e-06
left,3,0,False,638.039477387218,0.7703296163115001,-0.07598001319176537,443.15187180318424,0.07598001319176537,0.7703296163115001,-984.5150068440407,0.0,0.0,0.9783547980874394,-0.07676558454632113,116.31643123397501,0.058215350453243705,0.985883949023243,-1532.4866114351341,-2.4524836064678437e-06,-2.4291548682111235e-05
right,3,0,False,614.4170118257392,0.7780230971905286,-0.07784250436709116,449.61781384693205,0.07784250436709116,0.7780230971905286,-1003.7534030071675,0.0,0.0,0.9802008915752916,-0.07589555557706452,132.3832866488364,0.05698484841588612,0.9846903141087949,-1529.9381948324722,-2.214101048811518e-06,-2.5495742414165225e-05
left,4,0,False,675.0320296704688,0.7856645326406909,-0.09369280994417359,470.02736892897406,0.09369280994417359,0.7856645326406909,-1371.178736686662,0.0,0.0,0.9923097532492269,-0.08903758604051885,132.59941916209766,0.071131852233101,0.974640976509554,-1955.8243907816384,2.864718359221558e-07,-2.686259581306139e-05
right,4,0,False,667.9529622328669,0.7865925450756778,-0.09907892905753209,491.14641926634806,0.09907892905753209,0.7865925450756778,-1381.9606574603206,0.0,0.0,0.9961685031745696,-0.08998137530327135,152.2696296071339,0.07081068073587708,0.9766419885968523,-1957.5678153928754,1.136688096545951e-06,-2.6910456030197045e-05
