frame,position,parent_frame,registered_at_arrival,intra_verified,components_at_arrival
0,0,,True,True,1
1,1,0.0,True,True,1
2,2,1.0,True,True,1
3,3,2.0,True,True,1
4,4,2.0,True,True,1
5,5,4.0,True,True,1
6,6,5.0,True,True,1
7,7,6.0,True,True,1
8,8,7.0,True,True,1
9,9,8.0,True,True,1
10,10,9.0,True,True,1
11,11,10.0,True,True,1
12,12,11.0,True,True,1
13,13,12.0,True,True,1
14,14,13.0,True,True,1
15,15,14.0,True,True,1
16,16,14.0,True,True,1
17,17,15.0,True,True,1
18,18,17.0,True,True,1
19,19,18.0,True,True,1
20,20,19.0,True,True,1
21,21,20.0,True,True,1
22,22,21.0,True,True,1
23,23,22.0,True,True,1
24,24,23.0,True,True,1
25,25,24.0,True,True,1
26,26,25.0,True,True,1
27,27,26.0,True,True,1
28,28,27.0,True,True,1
29,29,28.0,True,True,1
30,30,29.0,True,True,1
31,31,30.0,True,True,1
32,32,31.0,True,True,1
33,33,32.0,True,True,1
34,34,33.0,True,True,1
35,35,34.0,True,True,1
36,36,35.0,True,True,1
37,37,36.0,True,True,1
38,38,36.0,True,True,1
39,39,38.0,True,True,1
40,40,39.0,True,True,1
41,41,40.0,True,True,1
42,42,40.0,True,True,1
43,43,42.0,True,True,1
44,44,43.0,True,True,1
45,45,44.0,True,True,1
46,46,45.0,True,True,1
47,47,45.0,True,True,1
48,48,47.0,True,True,1
49,49,48.0,True,True,1
50,50,49.0,True,True,1
51,51,50.0,True,True,1
52,52,51.0,True,True,1
53,53,52.0,True,True,1
54,54,53.0,True,True,1
55,55,54.0,True,True,1
56,56,55.0,True,True,1
57,57,56.0,True,True,1
58,58,57.0,True,True,1
59,59,58.0,True,True,1
60,60,59.0,True,True,1
61,61,60.0,True,True,1
62,62,61.0,True,True,1
63,63,62.0,True,True,1
64,64,63.0,True,True,1
65,65,64.0,True,True,1
66,66,65.0,True,True,1
67,67,66.0,True,True,1
68,68,67.0,True,True,1
69,69,68.0,True,True,1
