key_i,key_j,roles,provenance,raw_matches,ratio_matches,ransac_inliers,inlier_ratio,mean_reproj_error,coverage_i,coverage_j,quality_score,selected_matches,observation_index
left:0,right:0,intra_pair,intra_pair,10001,7879,7804,0.9998718770019218,0.07925205752929358,0.9751990158072632,0.9751854876786156,110.26703241839063,40,0
left:1,right:1,intra_pair,intra_pair,10000,7909,7850,1.0,0.07943028827272831,0.9808415984684324,0.9807684410420866,110.73621166621899,40,1
left:2,right:2,intra_pair,intra_pair,10000,7907,7858,1.0,0.07685482546331657,0.9736052404795636,0.9735816353741314,113.62128155538456,40,2
left:3,right:3,intra_pair,intra_pair,10001,7791,7746,0.9998709177746224,0.07884972969256414,0.965182256909678,0.9651799163887894,109.60113272237659,40,3
left:4,right:4,intra_pair,intra_pair,10000,7747,7711,1.0,0.07787265045710039,0.9621402035116204,0.9621820430151766,110.58512647214256,40,4
left:5,right:5,intra_pair,intra_pair,10000,7762,7723,0.9997411003236246,0.07096336544661308,0.9403476304296919,0.9403637849298425,118.59325329418118,40,5
left:6,right:6,intra_pair,intra_pair,10000,7773,7730,0.9996120522436311,0.07243646187154781,0.9497107212887996,0.9496630557662538,117.32918971048119,40,6
left:7,right:7,intra_pair,intra_pair,10002,7790,7722,0.9992236024844721,0.0759151152477833,0.9649138249107876,0.9649379964421106,113.69340685171652,40,7
left:8,right:8,intra_pair,intra_pair,10000,7893,7803,0.9982090315977996,0.08518581553054515,0.9774083544649994,0.977361943774085,102.64279197755761,40,8
left:9,right:9,intra_pair,intra_pair,10000,7769,7587,0.9973708426449323,0.09231925119033796,0.9758773512353308,0.9758672293153159,94.19158173228732,40,9
left:10,right:10,intra_pair,intra_pair,10000,7843,7624,0.9951703432972197,0.09968726375633595,0.9803467682156715,0.9803710338033552,87.48451054008163,40,10
left:11,right:11,intra_pair,intra_pair,10000,7934,7685,0.996757457846952,0.093263005043167,0.9755510970755403,0.9755358795275763,93.2832520139847,40,11
left:12,right:12,intra_pair,intra_pair,10000,7871,7640,0.9967384213959556,0.08559072358366838,0.9783771511927988,0.9783530054391156,101.86966756328248,40,12
left:13,right:13,intra_pair,intra_pair,10000,7807,7675,0.9983090530697191,0.0935986746803933,0.9778147622984494,0.9778083557770998,93.29668515372343,40,13
left:14,right:14,intra_pair,intra_pair,10000,7711,7563,0.998811410459588,0.08765960305731331,0.945285152025171,0.9453422114024204,96.19434124835534,40,14
left:15,right:15,intra_pair,intra_pair,10001,7801,7642,0.9972595589194833,0.0866562772476845,0.9814296022777156,0.9814591248533494,100.98919518174871,40,15
left:16,right:16,intra_pair,intra_pair,10000,7858,7695,0.9980544747081712,0.08918174784460504,0.9794847304746535,0.9794543055162563,98.08569709469192,40,16
left:17,right:17,intra_pair,intra_pair,10001,7871,7669,0.9973988815190532,0.09092803351489288,0.9506416743589884,0.9506635894007257,93.27537127446419,40,17
left:18,right:18,intra_pair,intra_pair,10000,7982,7801,0.9966781653251565,0.09217861955714853,0.9788220691959104,0.978786628938496,94.84611819861978,40,18
left:19,right:19,intra_pair,intra_pair,10001,7845,7763,0.9989705314631322,0.08253760508653785,0.9762137888454394,0.9762124403023984,105.83144561256039,40,19
left:20,right:20,intra_pair,intra_pair,10000,7787,7731,0.9993536711478801,0.0766873655054724,0.967770799124723,0.9677655351561434,112.9105246688683,40,20
left:21,right:21,intra_pair,intra_pair,10000,7810,7772,1.0,0.07195676508173741,0.9503650896396224,0.9503316556381571,118.3119291402519,40,21
left:22,right:22,intra_pair,intra_pair,10000,7723,7684,1.0,0.0710989918392874,0.8684406347360015,0.8684274172414912,109.28049612118774,40,22
left:23,right:23,intra_pair,intra_pair,10000,7673,7636,1.0,0.07975220676409271,0.971565415350825,0.9715469942839843,108.91560337327705,40,23
left:24,right:24,intra_pair,intra_pair,10000,7804,7758,1.0,0.08432342205959718,0.9668227736742924,0.9668325820095267,102.69211566647553,40,24
left:25,right:25,intra_pair,intra_pair,10000,7879,7825,1.0,0.08099369156360292,0.9657867755044011,0.9658035426389892,106.90179816264177,40,25
left:26,right:26,intra_pair,intra_pair,10000,7985,7940,0.9997481742634097,0.07924905273749466,0.967628588476361,0.9676986734122408,109.61403087416832,40,26
left:27,right:27,intra_pair,intra_pair,10000,8204,8162,1.0,0.06239055316805358,0.9766451154971916,0.9766561330965072,140.9966664422639,40,27
