camera,frame,component,is_reference,a,b,c,d,e,f,g,h
left,0,0,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
right,0,0,False,0.9999904208706931,-1.3883339266053837e-06,21.544352573632814,-8.493528467180806e-06,0.9999879947855937,0.015302475577984014,-3.446390908357237e-09,-3.6813110460747595e-09
left,1,0,False,0.9631504896468859,-0.03606371434327629,56.274507597448135,-0.003137191241970422,0.9329454918975857,-494.89999529975677,3.7369761962679072e-06,-2.9374327731795573e-05
right,1,0,False,0.9644319686807723,-0.031841497543035675,73.84665394154406,0.0014975473770951096,0.9416249328550713,-503.19177579836906,-2.0861072996378587e-06,-2.219315115324561e-05
left,2,0,False,0.9099857086471828,-0.066706910001533,103.59420748840525,-0.017472806777952713,0.8684170481342713,-872.4150279104018,-4.806392245950779e-07,-6.03133745709574e-05
right,2,0,False,0.922807146221327,-0.06752297843730266,123.74724655536677,-0.013385872903640314,0.880670113872193,-889.0148732530087,9.16236902422598e-06,-5.72715191632265e-05
left,3,0,False,0.8668802100073083,-0.09503379068502059,157.96395741224393,0.003877919341109673,0.8343409413170184,-1249.0452758739757,-3.882874524261534e-06,-7.6901785436024e-05
right,3,0,False,0.8849269474980652,-0.09509322172383533,171.32352538667405,0.004500119797610265,0.8376795384719429,-1251.2669428183235,6.892226813368847e-06,-7.498089583829637e-05
left,4,0,False,0.8317441702282092,-0.12401121139745862,205.50534482234224,0.010395022221042521,0.695580334159066,-1390.8138874303256,-3.961884039840805e-06,-9.557352167191591e-05
right,4,0,False,0.9344983410348991,-0.07068352378722807,153.48448693098123,0.005155214550523885,0.7096970193686116,-1461.4495040953886,1.5862394238341037e-05,-3.455332299212165e-05
left,5,0,False,0.7219304747421229,-0.17260309969061186,312.6460150917704,0.020697194311878424,0.6348825051626715,-1527.4791381053265,1.7417681299497627e-06,-0.00015111923294892863
right,5,0,False,0.8038994763213841,-0.146581154120403,281.4468191373809,0.018337472316315266,0.6775821252944754,-1637.5360006647932,5.333304898820361e-06,-0.00010810839544865107
left,6,0,False,0.7586829228401653,-0.18044314417848176,329.81561290541003,0.028419730962519932,0.6682461241900359,-1852.865930281121,5.18292534032009e-06,-0.00012894830153465604
right,6,0,False,0.6750025430483803,-0.18223985742352178,378.5093021968134,0.02919533355295779,0.6135131808413344,-1707.0797141445612,5.51458054119845e-07,-0.00015637644460521127
left,7,0,False,0.7156231557787431,-0.20134042981577027,395.5846485777729,0.035446081335508466,0.6592547549984715,-2039.4104196563408,6.178287780196361e-06,-0.00014190881268199136
right,7,0,False,0.6198789925240327,-0.1948289374339061,439.9004568435879,0.037686151267086444,0.5937794902308161,-1849.0792189551057,-2.651418519892839e-06,-0.00016349030382380874
left,8,0,False,0.6841621510331716,-0.19770029842875994,430.9295899829307,0.022824089386656615,0.6143164740942517,-2129.5264276657786,4.4769542759762986e-06,-0.00014149902232257574
right,8,0,False,0.6084705512955481,-0.17995483096667367,449.06819637076575,0.02180249114787877,0.5558860871372409,-1946.149252817844,9.10181660031867e-07,-0.00015309957706693988
left,9,0,False,0.5722389232688253,-0.19086582009343994,484.0646462666564,0.024297279041477014,0.5452469098964414,-2048.944719863347,2.1649287868947766e-06,-0.00015825107053918545
right,9,0,False,0.6325210977380258,-0.20172100776404234,505.5758336461326,0.03785103547418639,0.5947303488115782,-2252.144348807296,-3.9453554792928845e-07,-0.00014395598790536236
left,10,0,False,0.5756258843343434,-0.20747461550336385,564.1077480885236,0.047086500852707554,0.5776229744237008,-2362.4359854396293,-3.1947594652962596e-06,-0.0001482565832741771
right,10,0,False,0.5182631860867343,-0.19340934110056096,557.109740985785,0.0329312986669608,0.5253998991812767,-2137.164747428764,-1.0572335565777514e-06,-0.00015952690946083084
left,11,0,False,0.5349914829831914,-0.21382441999636206,625.5114008822762,0.043524704127187355,0.5710250029846097,-2452.9602555043107,-3.413732718404572e-07,-0.00015371662429151034
right,11,0,False,0.4726716822971879,-0.196178607127664,610.9151660133896,0.036577061627753406,0.512627806820277,-2207.498676825929,-2.225825495302269e-06,-0.000161718822266894
left,12,0,False,0.3996280250584568,-0.34463342367875865,1346.2455450346565,0.3704643477081942,0.6900881648600105,-3677.2578398540695,-4.243202614486488e-05,-0.00013676432332274926
right,12,0,False,0.4610658143615415,-0.20931094036195516,709.3684610951847,0.08178688643257276,0.5387298729956547,-2529.509054516356,-1.4970847525238657e-05,-0.00014962926815462253
