camera,frame,path,bytes,mtime_ns,height,width,sift_features,sift_extractions
left,0,data/left/000000_DJI_20260731151309_0001_V.png,12873491,1788359677534136400,1978,2640,10001,1
right,0,data/right/000000_DJI_20260731151309_0001_V.png,12871454,1788359677707146900,1978,2640,10000,1
left,1,data/left/000001_DJI_20260731151313_0003_V.png,12707798,1788359679051349500,1978,2640,10000,1
right,1,data/right/000001_DJI_20260731151313_0003_V.png,12707064,1788359679206297300,1978,2640,10000,1
left,2,data/left/000002_DJI_20260731151315_0004_V.png,12841774,1788359680571970300,1978,2640,10000,1
right,2,data/right/000002_DJI_20260731151315_0004_V.png,12839235,1788359680743257900,1978,2640,10000,1
left,3,data/left/000003_DJI_20260731151317_0005_V.png,13348081,1788359682255474700,1978,2640,10001,1
right,3,data/right/000003_DJI_20260731151317_0005_V.png,13343619,1788359682430108800,1978,2640,10000,1
left,4,data/left/000004_DJI_20260731151318_0006_V.png,13501180,1788359684157164900,1978,2640,10000,1
right,4,data/right/000004_DJI_20260731151318_0006_V.png,13493459,1788359684350999000,1978,2640,10000,1
left,5,data/left/000005_DJI_20260731151320_0007_V.png,12497252,1788359685991388600,1978,2640,10000,1
right,5,data/right/000005_DJI_20260731151320_0007_V.png,12489901,1788359686191764800,1978,2640,10000,1
left,6,data/left/000006_DJI_20260731151322_0008_V.png,11742015,1788359687834077500,1978,2640,10000,1
right,6,data/right/000006_DJI_20260731151322_0008_V.png,11740561,1788359688020959700,1978,2640,10000,1
left,7,data/left/000007_DJI_20260731151324_0009_V.png,11339001,1788359690056791000,1978,2640,10002,1
right,7,data/right/000007_DJI_20260731151324_0009_V.png,11340424,1788359690338749200,1978,2640,10000,1
left,8,data/left/000008_DJI_20260731151326_0010_V.png,10808933,1788359692156102500,1978,2640,10000,1
right,8,data/right/000008_DJI_20260731151326_0010_V.png,10814430,1788359692446144500,1978,2640,10000,1
left,9,data/left/000009_DJI_20260731151328_0011_V.png,10447807,1788359694336029800,1978,2640,10000,1
right,9,data/right/000009_DJI_20260731151328_0011_V.png,10452972,1788359694543364500,1978,2640,10001,1
left,10,data/left/000010_DJI_20260731151330_0012_V.png,10808276,1788359696638837000,1978,2640,10000,1
right,10,data/right/000010_DJI_20260731151330_0012_V.png,10811227,1788359696889793500,1978,2640,10000,1
left,11,data/left/000011_DJI_20260731151331_0013_V.png,10949018,1788359699196240300,1978,2640,10000,1
right,11,data/right/000011_DJI_20260731151331_0013_V.png,10950499,1788359699492991000,1978,2640,10000,1
left,12,data/left/000012_DJI_20260731151333_0014_V.png,10961327,1788359701398784900,1978,2640,10000,1
right,12,data/right/000012_DJI_20260731151333_0014_V.png,10969331,1788359701616747400,1978,2640,10000,1
left,13,data/left/000013_DJI_20260731151337_0015_V.png,10747241,1788359703281370900,1978,2640,10000,1
right,13,data/right/000013_DJI_20260731151337_0015_V.png,10772101,1788359703471583300,1978,2640,10000,1
left,14,data/left/000014_DJI_20260731151339_0016_V.png,10710946,1788359705166380700,1978,2640,10000,1
right,14,data/right/000014_DJI_20260731151339_0016_V.png,10729880,1788359705362953500,1978,2640,10000,1
left,15,data/left/000015_DJI_20260731151342_0017_V.png,11117308,1788359707793169800,1978,2640,10001,1
right,15,data/right/000015_DJI_20260731151342_0017_V.png,11097031,1788359708074863300,1978,2640,10000,1
left,16,data/left/000016_DJI_20260731151344_0018_V.png,11070292,1788359709788178200,1978,2640,10000,1
right,16,data/right/000016_DJI_20260731151344_0018_V.png,11056508,1788359709968250800,1978,2640,10000,1
left,17,data/left/000017_DJI_20260731151346_0019_V.png,10857003,1788359711638590400,1978,2640,10001,1
right,17,data/right/000017_DJI_20260731151346_0019_V.png,10844059,1788359711817482800,1978,2640,10000,1
left,18,data/left/000018_DJI_20260731151348_0020_V.png,10432727,1788359713237222900,1978,2640,10000,1
right,18,data/right/000018_DJI_20260731151348_0020_V.png,10416139,1788359713409028300,1978,2640,10000,1
left,19,data/left/000019_DJI_20260731151350_0021_V.png,10886106,1788359714827074800,1978,2640,10001,1
right,19,data/right/000019_DJI_20260731151350_0021_V.png,10878866,1788359714988190000,1978,2640,10000,1
left,20,data/left/000020_DJI_20260731151352_0022_V.png,11275213,1788359716403240900,1978,2640,10000,1
right,20,data/right/000020_DJI_20260731151352_0022_V.png,11272623,1788359716567917000,1978,2640,10000,1
left,21,data/left/000021_DJI_20260731151354_0023_V.png,11844093,1788359718001542800,1978,2640,10000,1
right,21,data/right/000021_DJI_20260731151354_0023_V.png,11840564,1788359718172237900,1978,2640,10000,1
left,22,data/left/000022_DJI_20260731151357_0024_V.png,12577651,1788359719599075900,1978,2640,10000,1
right,22,data/right/000022_DJI_20260731151357_0024_V.png,12585030,1788359719767517900,1978,2640,10000,1
left,23,data/left/000023_DJI_20260731151400_0025_V.png,13319322,1788359721152664700,1978,2640,10000,1
right,23,data/right/000023_DJI_20260731151400_0025_V.png,13327719,1788359721321117900,1978,2640,10000,1
left,24,data/left/000024_DJI_20260731151403_0026_V.png,12840800,1788359722762350100,1978,2640,10000,1
right,24,data/right/000024_DJI_20260731151403_0026_V.png,12849425,1788359722929161200,1978,2640,10000,1
left,25,data/left/000025_DJI_20260731151404_0027_V.png,12602819,1788359724315215100,1978,2640,10000,1
right,25,data/right/000025_DJI_20260731151404_0027_V.png,12615246,1788359724475561300,1978,2640,10000,1
left,26,data/left/000026_DJI_20260731151406_0028_V.png,12598733,1788359725972812100,1978,2640,10000,1
right,26,data/right/000026_DJI_20260731151406_0028_V.png,12610983,1788359726147410900,1978,2640,10000,1
left,27,data/left/000027_DJI_20260731151409_0029_V.png,12347498,1788359727513267100,1978,2640,10000,1
right,27,data/right/000027_DJI_20260731151409_0029_V.png,12351859,1788359727678942900,1978,2640,10000,1
left,28,data/left/000028_DJI_20260731151412_0030_V.png,11935120,1788359729379110700,1978,2640,10002,1
right,28,data/right/000028_DJI_20260731151412_0030_V.png,11941550,1788359729561459200,1978,2640,10000,1
left,29,data/left/000029_DJI_20260731151415_0031_V.png,12105973,1788359731170244200,1978,2640,10000,1
right,29,data/right/000029_DJI_20260731151415_0031_V.png,12099732,1788359731344589900,1978,2640,10001,1
left,30,data/left/000030_DJI_20260731151417_0032_V.png,12260682,1788359732903657500,1978,2640,10000,1
right,30,data/right/000030_DJI_20260731151417_0032_V.png,12257215,1788359733081534800,1978,2640,10000,1
left,31,data/left/000031_DJI_20260731151419_0033_V.png,12472455,1788359734625935700,1978,2640,10000,1
right,31,data/right/000031_DJI_20260731151419_0033_V.png,12469937,1788359734811087500,1978,2640,10000,1
left,32,data/left/000032_DJI_20260731151420_0034_V.png,12669517,1788359736386948100,1978,2640,10001,1
right,32,data/right/000032_DJI_20260731151420_0034_V.png,12664483,1788359736568296800,1978,2640,10001,1
left,33,data/left/000033_DJI_20260731151422_0035_V.png,12478440,1788359738169977400,1978,2640,10000,1
right,33,data/right/000033_DJI_20260731151422_0035_V.png,12472183,1788359738352253100,1978,2640,10000,1
left,34,data/left/000034_DJI_20260731151424_0036_V.png,11703805,1788359739932847400,1978,2640,10000,1
right,34,data/right/000034_DJI_20260731151424_0036_V.png,11694648,1788359740126633300,1978,2640,10000,1
left,35,data/left/000035_DJI_20260731151426_0037_V.png,11405171,1788359741707549600,1978,2640,10000,1
right,35,data/right/000035_DJI_20260731151426_0037_V.png,11403424,1788359741892283700,1978,2640,10000,1
left,36,data/left/000036_DJI_20260731151427_0038_V.png,11163476,1788359743684925900,1978,2640,10000,1
right,36,data/right/000036_DJI_20260731151427_0038_V.png,11168528,1788359743968536700,1978,2640,10000,1
left,37,data/left/000037_DJI_20260731151429_0039_V.png,10950569,1788359746210410200,1978,2640,10001,1
right,37,data/right/000037_DJI_20260731151429_0039_V.png,10960690,1788359746478317200,1978,2640,10001,1
left,38,data/left/000038_DJI_20260731151431_0040_V.png,11326261,1788359748646718000,1978,2640,10000,1
right,38,data/right/000038_DJI_20260731151431_0040_V.png,11336793,1788359748893831200,1978,2640,10002,1
left,39,data/left/000039_DJI_20260731151433_0041_V.png,11612205,1788359751006078800,1978,2640,10000,1
right,39,data/right/000039_DJI_20260731151433_0041_V.png,11623997,1788359751192702000,1978,2640,10000,1
left,40,data/left/000040_DJI_20260731151434_0042_V.png,11669328,1788359752892807500,1978,2640,10000,1
right,40,data/right/000040_DJI_20260731151434_0042_V.png,11683206,1788359753066898900,1978,2640,10000,1
left,41,data/left/000041_DJI_20260731151437_0043_V.png,11823234,1788359754649636500,1978,2640,10001,1
right,41,data/right/000041_DJI_20260731151437_0043_V.png,11842026,1788359754832972500,1978,2640,10000,1
left,42,data/left/000042_DJI_20260731151440_0044_V.png,11723480,1788359756555325100,1978,2640,10000,1
right,42,data/right/000042_DJI_20260731151440_0044_V.png,11731800,1788359756740300700,1978,2640,10000,1
left,43,data/left/000043_DJI_20260731151442_0045_V.png,12282881,1788359758464855100,1978,2640,10000,1
