key_i,key_j,raw_matches,ratio_matches,mutual_matches,ransac_inliers,inlier_ratio,mean_reproj_error,coverage_i,coverage_j,selected_matches,verified,reason
left:0,right:0,10001,7879,7805,7804,0.9998718770019218,0.07925205752929358,0.9751990158072632,0.9751854876786156,40,True,accepted
left:1,right:1,10000,7909,7850,7850,1.0,0.07943028827272831,0.9808415984684324,0.9807684410420866,40,True,accepted
left:1,left:0,10000,1511,1299,678,0.5219399538106235,1.7780521748436369,0.2983936700436406,0.29551343093657145,40,True,accepted
left:1,right:0,10000,1538,1320,695,0.5265151515151515,1.515035082248502,0.2847625454286456,0.282462938624974,40,True,accepted
right:1,left:0,10000,1505,1291,626,0.48489542989930284,1.9614535837257392,0.3278165294149378,0.32337282236295345,40,True,accepted
right:1,right:0,10000,1524,1311,670,0.5110602593440122,1.9285104425647182,0.32382055265382154,0.31881856067583486,40,True,accepted
left:2,right:2,10000,7907,7858,7858,1.0,0.07685482546331657,0.9736052404795636,0.9735816353741314,40,True,accepted
left:2,left:1,10000,1889,1658,808,0.4873341375150784,1.5485223667015728,0.27619954983727685,0.2804719165743993,40,True,accepted
left:2,right:1,10000,1879,1655,809,0.48882175226586105,1.6223159518786772,0.2922751275915706,0.29594839297147063,40,True,accepted
right:2,left:1,10000,1854,1626,760,0.46740467404674046,1.8526529509656344,0.43929591002193297,0.4416743332136046,40,True,accepted
right:2,right:1,10000,1879,1673,759,0.4536760310818888,1.456651153677388,0.25404851831057257,0.260117219742147,40,True,accepted
left:2,left:0,10000,173,117,58,0.49572649572649574,1.2179902751430796,0.07174756326128161,0.07292784697269655,40,True,accepted
left:2,right:0,10000,164,102,56,0.5490196078431373,1.2721311078886033,0.07399099677348335,0.07494901147837552,40,True,accepted
right:2,left:0,10000,175,117,53,0.452991452991453,1.2919077411683817,0.07684692547777189,0.0783691137587608,40,True,accepted
right:2,right:0,10000,166,102,49,0.4803921568627451,1.3181062521895777,0.07650574787593706,0.07727231647987942,40,True,accepted
left:3,right:3,10001,7791,7747,7746,0.9998709177746224,0.07884972969256414,0.965182256909678,0.9651799163887894,40,True,accepted
left:3,left:2,10001,1720,1529,772,0.5049051667756703,1.672657522066781,0.31827707788113485,0.3314710827671958,40,True,accepted
left:3,right:2,10001,1776,1578,753,0.47718631178707227,1.542341745600329,0.31464432339953613,0.327615666487515,40,True,accepted
right:3,left:2,10000,1680,1489,708,0.47548690396239085,1.9723885831065038,0.406607316706708,0.41391359295248237,40,True,accepted
right:3,right:2,10000,1706,1528,753,0.49280104712041883,1.985376449155569,0.4028701351829319,0.41248924464531345,40,True,accepted
left:3,left:1,10001,153,104,37,0.3557692307692308,1.6647406074226485,0.2554447196774677,0.25927859878690257,0,False,inlier_count
left:3,right:1,10001,159,106,33,0.3113207547169811,1.8116678982795043,0.2157729723710832,0.22141414217366254,0,False,inlier_count
right:3,left:1,10000,148,91,32,0.3516483516483517,1.4372841270067467,0.22309369039431381,0.22594507380930673,0,False,inlier_count
right:3,right:1,10000,149,90,31,0.34444444444444444,1.5133840618014445,0.2884026779940096,0.29340036272969616,0,False,inlier_count
left:4,right:4,10000,7747,7711,7711,1.0,0.07787265045710039,0.9621402035116204,0.9621820430151766,40,True,accepted
