frame_i,frame_j,roles,relation_score,endpoint_coverage,num_verified_LL_LR_RL_RR,source
1,0,tree,3.9253346695505247,3,4,sequential
2,1,tree,5.030203421171736,4,4,sequential
2,0,strong,3.188640307694725,3,4,sequential
3,2,tree,3.9850138017709176,3,4,sequential
4,2,tree,4.120690928581169,4,2,sequential
4,3,strong,3.883817196911761,3,4,sequential
5,4,tree,4.0798194199804545,3,4,sequential
5,3,strong,3.205664777319437,3,3,sequential
6,5,tree,4.644273514863277,4,4,sequential
7,6,tree,4.345863926940925,3,4,sequential
8,7,tree,3.903412842567363,3,4,sequential
8,6,strong,3.213704732687181,3,3,sequential
9,8,tree,3.669479296308021,3,4,sequential
9,7,strong,2.1429622340239285,2,1,sequential
10,9,tree,3.7322900822564584,3,4,sequential
11,10,tree,5.063732153473683,4,4,sequential
11,9,strong,4.401083070245599,4,3,sequential
12,11,tree,5.016597117085272,4,4,sequential
12,10,strong,3.3554308199731357,3,4,sequential
13,12,tree,4.139233046835622,3,4,sequential
13,11,strong,3.5771741200428098,3,4,sequential
14,13,tree,5.148448265847445,4,4,sequential
14,12,strong,4.769788702072906,4,4,sequential
15,14,tree,4.433255860303721,3,4,sequential
15,13,strong,3.657517834079833,3,4,sequential
15,11,strong,3.643007790037472,3,4,sequential
16,14,tree,4.702161299561175,4,4,sequential
16,15,strong,4.2824126729423595,3,4,sequential
16,12,strong,3.5023653522289395,3,4,sequential
17,15,tree,4.398259947407947,4,4,sequential
17,16,strong,4.2925276119739495,3,4,sequential
18,17,tree,5.6645296998369234,4,4,sequential
18,8,loop,4.421891351483222,4,4,retrieval
18,16,strong,3.551266261612596,3,4,sequential
19,18,tree,4.199640944369451,3,4,sequential
19,7,loop,3.5495924338124176,3,4,retrieval
19,8,loop,3.423642566814319,3,4,retrieval
19,17,strong,3.3533624950403094,3,4,sequential
20,19,tree,5.5230650843544336,4,4,sequential
20,7,loop,3.4492941148462197,3,4,retrieval
20,18,strong,4.322480354854953,4,4,sequential
21,20,tree,4.176487387860387,3,4,sequential
21,6,strong,3.4464954052588985,3,2,retrieval
22,21,tree,3.972055230333687,3,4,sequential
22,5,loop,4.352120829752885,4,3,retrieval
22,4,loop,3.4936660990557553,3,4,retrieval
22,3,strong,2.1045357152216186,2,1,retrieval
23,22,tree,3.876477073147141,3,4,sequential
23,4,loop,3.400341638059022,3,4,retrieval
23,3,loop,3.262911131242977,3,4,retrieval
24,23,tree,4.744459743637533,4,4,sequential
24,2,loop,3.716670393639072,3,4,retrieval
24,3,loop,3.7114380245991376,3,4,retrieval
24,4,strong,3.1466902088441273,3,4,retrieval
24,22,strong,2.0432383612157503,2,1,sequential
25,24,tree,5.138033742276319,3,4,sequential
25,2,loop,4.918624605230628,4,4,retrieval
25,3,loop,4.416081959345395,4,4,retrieval
25,1,strong,3.6078423321428064,3,4,retrieval
25,23,strong,2.064987209748096,2,1,sequential
26,25,tree,4.903909869858898,3,4,sequential
26,1,loop,4.853948332325202,4,4,retrieval
26,24,strong,3.279977389965122,3,4,sequential
