query_frame,query_position,frame,position,votes,score,weighted_score
15,15,2,2,1,0.001,5.353183823508768e-06
16,16,1,1,2,0.002,9.441423858222222e-06
17,17,1,1,1,0.001,5.248783384129057e-06
17,17,0,0,1,0.001,4.308664060861155e-06
17,17,4,4,1,0.001,4.061820273488909e-06
18,18,8,8,9,0.009,7.002277734902436e-05
18,18,7,7,4,0.004,2.6944212721587762e-05
19,19,8,8,12,0.012,7.820715411702107e-05
19,19,6,6,5,0.005,4.236910659629676e-05
19,19,5,5,3,0.003,1.2261499125991465e-05
19,19,7,7,2,0.002,9.30201224728144e-06
20,20,6,6,9,0.009,4.4344862605804556e-05
20,20,7,7,3,0.003,1.6355489940333074e-05
21,21,5,5,4,0.004,2.586565616383916e-05
21,21,6,6,2,0.002,9.588190391491285e-06
21,21,7,7,2,0.002,9.440860757022976e-06
21,21,4,4,2,0.002,9.002718877171428e-06
21,21,8,8,1,0.001,4.4736125873610705e-06
22,22,5,5,16,0.016,0.00011941649369242454
22,22,4,4,5,0.005,2.4074008991762318e-05
22,22,3,3,2,0.002,1.5124069897389361e-05
23,23,4,4,12,0.012,7.745661707798376e-05
23,23,3,3,5,0.005,2.492002953638716e-05
24,24,3,3,9,0.009,5.358569301016738e-05
24,24,1,1,6,0.006,3.4320554283136116e-05
24,24,2,2,5,0.005,2.5784771313382036e-05
24,24,4,4,4,0.004,2.2079593275129676e-05
24,24,5,5,3,0.003,1.3708089533624992e-05
24,24,14,14,1,0.001,4.237858864883373e-06
25,25,1,1,6,0.006,4.0583407200671166e-05
25,25,2,2,6,0.006,3.537145924742624e-05
25,25,13,13,2,0.002,1.0938514148932782e-05
25,25,3,3,1,0.001,4.8418343237032195e-06
25,25,4,4,1,0.001,4.454221564226444e-06
26,26,1,1,9,0.009,5.2584529886659646e-05
26,26,4,4,1,0.001,5.12948671897909e-06
26,26,11,11,1,0.001,5.056312167146973e-06
26,26,10,10,1,0.001,4.96493497042888e-06
26,26,15,15,1,0.001,4.867808332792968e-06
27,27,0,0,5,0.005,2.6657365069682457e-05
27,27,2,2,2,0.002,1.026680201090855e-05
27,27,17,17,2,0.002,8.7804572613043e-06
27,27,1,1,1,0.001,6.457528719902463e-06
27,27,9,9,1,0.001,5.5609644692210285e-06
27,27,15,15,1,0.001,5.260535592396268e-06
27,27,16,16,1,0.001,4.777039862722202e-06
27,27,8,8,1,0.001,4.524794071223329e-06
28,28,12,12,2,0.002,1.563215531371185e-05
28,28,18,18,1,0.001,4.8470074286621415e-06
28,28,15,15,1,0.001,3.481721956950341e-06
29,29,6,6,1,0.001,4.156863479013364e-06
31,31,4,4,2,0.002,8.174994519088457e-06
31,31,14,14,1,0.001,5.385146052619479e-06
33,33,23,23,8,0.008,5.037374414447747e-05
33,33,12,12,2,0.002,1.3730775731924792e-05
33,33,11,11,1,0.001,4.76341725821672e-06
34,34,22,22,3,0.003,1.9323027963019867e-05
34,34,21,21,2,0.002,1.0959074166225876e-05
34,34,14,14,2,0.002,1.0451000916991342e-05
34,34,4,4,2,0.002,9.344895729054677e-06
34,34,20,20,1,0.001,5.0086471823763495e-06
35,35,20,20,6,0.006,5.6079188976794746e-05
35,35,1,1,2,0.002,9.95041519394893e-06
35,35,21,21,2,0.002,9.154970522761468e-06
35,35,18,18,1,0.001,6.091449031776997e-06
35,35,19,19,1,0.001,5.955441383820838e-06
36,36,19,19,3,0.003,2.59610763782272e-05
36,36,8,8,2,0.002,1.036359092172498e-05
36,36,14,14,2,0.002,8.22714410179676e-06
36,36,18,18,1,0.001,1.5744614868388684e-05
36,36,26,26,1,0.001,5.838476502694968e-06
36,36,20,20,1,0.001,5.197137265169895e-06
36,36,10,10,1,0.001,4.429985743935686e-06
36,36,11,11,1,0.001,4.155355865288671e-06
37,37,18,18,15,0.015,0.00012179504580574676
37,37,17,17,6,0.006,6.668532560037324e-05
37,37,9,9,2,0.002,1.1276778982013763e-05
37,37,16,16,2,0.002,9.394925535764047e-06
37,37,3,3,2,0.002,8.66735345292001e-06
37,37,13,13,2,0.002,8.483638371418687e-06
37,37,8,8,1,0.001,1.5041421290911232e-05
37,37,19,19,1,0.001,5.407538658597018e-06
38,38,17,17,6,0.006,5.4162707514408714e-05
38,38,9,9,4,0.004,2.551093115555629e-05
38,38,18,18,3,0.003,4.938125103538485e-05
38,38,19,19,2,0.002,1.1519002813935128e-05
38,38,26,26,2,0.002,9.949521644342824e-06
38,38,1,1,1,0.001,3.787471163228258e-06
39,39,15,15,10,0.01,0.00011200791553060275
39,39,16,16,6,0.006,6.130497630084344e-05
39,39,17,17,3,0.003,4.444610967283534e-05
39,39,10,10,1,0.001,5.581977513170023e-06
39,39,21,21,1,0.001,4.617177123260275e-06
39,39,9,9,1,0.001,4.144705977226414e-06
40,40,15,15,7,0.007,7.065311412618226e-05
40,40,16,16,5,0.005,3.0297009943462576e-05
40,40,12,12,1,0.001,7.5107341070805114e-06
40,40,25,25,1,0.001,5.178497985929805e-06
40,40,13,13,1,0.001,5.173228861066904e-06
40,40,19,19,1,0.001,4.431073015248325e-06
41,41,15,15,4,0.004,2.1393983210990943e-05
41,41,18,18,1,0.001,5.0543740602973e-06
41,41,1,1,1,0.001,4.664552687310331e-06
41,41,3,3,1,0.001,3.852970951710855e-06
41,41,6,6,1,0.001,3.5242305786068634e-06
42,42,23,23,2,0.002,1.1218358340152364e-05
42,42,18,18,2,0.002,8.53160889180658e-06
42,42,16,16,1,0.001,9.12111170818327e-06
43,43,5,5,1,0.001,5.009590172447093e-06
43,43,10,10,1,0.001,4.212365798100077e-06
45,45,23,23,2,0.002,9.377048851441252e-06
45,45,15,15,1,0.001,1.2510755808239125e-05
46,46,15,15,1,0.001,6.654404198388993e-06
46,46,10,10,1,0.001,4.3459779156721384e-06
46,46,8,8,1,0.001,4.2849053928233875e-06
47,47,36,36,4,0.004,7.562327808340625e-05
47,47,37,37,4,0.004,2.73695353239606e-05
47,47,15,15,2,0.002,1.1004575052880532e-05
47,47,7,7,2,0.002,9.204434508006607e-06
47,47,29,29,1,0.001,5.390777017363576e-06
48,48,36,36,6,0.006,4.325698670681843e-05
48,48,37,37,3,0.003,3.338222278858466e-05
48,48,31,31,3,0.003,2.2085232622454166e-05
48,48,18,18,2,0.002,8.734566065886635e-06
48,48,15,15,1,0.001,5.6454842956554975e-06
48,48,24,24,1,0.001,4.84507275648854e-06
48,48,35,35,1,0.001,4.652874297567218e-06
48,48,14,14,1,0.001,4.095403846002892e-06
49,49,35,35,11,0.011,9.490791193014836e-05
49,49,34,34,4,0.004,2.2588646593491512e-05
49,49,1,1,2,0.002,1.0499655369131992e-05
49,49,20,20,1,0.001,5.862707968489875e-06
