image_i,image_j,inlier_count,pair_rmse_px,pair_median_error_px,pair_max_error_px
0,1,363,10.85831253091407,8.234148179039543,25.73305223903884
0,26,50,10.044835285407338,7.856725468110065,29.948170007682194
0,27,73,12.178989421002584,11.402731960014401,29.487801657768745
1,2,593,11.425993519259416,7.943651128506768,30.26663589070455
1,26,130,7.90698955249324,6.099098423575187,25.950798905846305
2,3,472,9.589704987412878,8.144300161577753,22.30299539893476
2,24,83,5.952106818373287,4.439895016440493,11.343911935775292
2,25,107,9.415338994369103,7.229871336777649,22.01989657489163
3,4,483,10.624460824328823,9.871996460691745,19.542773877675646
3,24,106,12.19361015897816,9.932777461529955,28.748800195906135
4,5,367,8.001909862805995,6.51450654483317,31.451845813645033
4,23,102,12.473691564342369,9.619104831360868,24.79749122310062
5,6,312,8.293729193539386,7.3764473502949715,19.277697986900414
5,21,165,13.255549276712095,12.227801588003736,36.62576660645402
5,22,139,9.776989352261833,7.822566684125113,22.949021311771038
6,7,212,10.647169390167813,9.164656685766815,52.53819661650872
6,21,139,8.174033249445806,6.592802888683426,21.370554280750817
7,8,207,18.88720646344255,15.678254819706401,49.935775760084574
7,20,31,16.42324823464837,9.027431929596704,73.59198075176057
8,9,222,31.945173958820153,28.298111590204737,60.16751963300549
8,18,50,26.45471479194673,18.679142702566153,55.291402310144484
8,19,41,12.411839112761106,11.131069783099164,18.859101931462522
9,10,197,26.5354185595002,24.770940753035532,47.56011232040378
9,17,72,18.87401297445348,18.51662315155148,43.188590946120236
10,11,261,19.215097931575638,9.816288862643443,59.04284400456353
10,16,75,20.37505687300646,10.438741608343532,49.84586978437899
11,12,255,6.73696848059863,5.72266431389096,13.754069100571463
11,13,103,16.043544690189368,11.425180564125808,37.65334754942645
11,16,89,13.623654259006411,9.028259534647177,34.74317302093209
12,13,441,8.792497796534926,6.269186896071731,21.46340475523554
13,14,427,12.258697696576071,8.47913332613451,27.23049182794752
13,15,202,11.31016060649163,9.288471309592817,30.86466963215972
14,15,471,7.261809485896279,4.320679154378562,27.2955238847857
14,41,39,9.527694625838578,4.850952888001701,17.964357568053458
15,16,363,11.999485480398443,11.569741786401128,20.48593294879247
15,40,117,6.461794638168621,5.032821698156934,16.070867292851293
15,41,95,5.6998988107657285,5.098296492581615,14.240213065119443
16,17,401,19.910209083636406,16.096430409961027,42.43492281066769
16,39,72,14.30127397539054,11.72658016223012,51.76491751689015
17,18,166,28.14771220571068,20.29454966393486,59.413291260697726
17,38,60,21.900106431255644,10.382681824174218,66.22862755360896
18,19,300,15.472580280214583,13.65853473250744,41.01348418866666
18,37,64,18.6697005751187,17.007893565768978,51.63943131931696
