image_i,image_j,inlier_count,pair_rmse_px,pair_median_error_px,pair_max_error_px
21,22,368,8.61904670709347,8.415340421933895,20.765065427939334
21,34,40,11.204291363027322,5.288754843410666,29.905282795000424
22,23,263,8.101485782684437,5.947700449334887,22.41484214107033
22,33,34,8.824795304088076,7.30293621878386,16.875533066540243
23,24,269,7.240931729308897,7.136743848112962,16.091516846882552
23,32,78,6.397266118115932,6.03620740043227,10.826463501935415
24,25,793,8.35622967235916,7.817864932469206,20.579582837141402
24,31,130,3.5541650754810177,3.2604689583711237,6.909756853263757
25,26,786,5.258826391590473,4.271916526409732,18.001020822278043
25,30,145,3.6426537830274808,2.966737311826184,8.913889183716478
26,27,1180,2.6853059074453545,2.2034818073418942,9.62794216329519
26,28,353,3.3270830239886724,2.5955879428678896,9.306824794280121
27,28,997,2.2865629562954255,1.8116354591155612,6.239186343930525
28,29,1011,2.624533895551804,2.161106417947907,12.299807135641663
28,30,195,5.859050336423313,3.815792380814346,16.5394119675245
29,30,645,4.019623578768416,2.6866431665614185,16.350706420406404
30,31,560,10.302226784089953,8.350735806799724,27.733494848062406
31,32,783,7.647262533353938,5.740112802938777,36.50752515272868
32,33,501,11.344807643795168,9.128310357547543,26.392541425066863
33,34,417,9.681196404884087,9.859648749712335,16.11760689274654
34,35,367,5.272244505546857,4.4175352550064035,16.68167302142348
35,36,304,6.567636894419853,5.7162262251470555,18.581344781306072
36,37,275,4.805198625113181,3.670428795595088,24.46107295608429
37,38,202,4.077339436054396,3.3307560213097624,9.6870907891771
38,39,397,2.6489222975646873,2.1097480643412228,6.74871426120947
39,40,463,2.0566654816680123,1.3747898203051983,6.397168054020304
